n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
3,CRUISE  −  BIG + CRUISE  +  SMALL + CRUISE  CANCEL,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + FOLLOW DIST  +,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + CRUISE  RESUME,CRUISE  −  BIG,CRUISE  RESUME,idle,58,217,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + FOLLOW DIST  −,CRUISE  −  BIG,FOLLOW DIST  −,idle,58,350,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + DOWNHILL  CANCEL,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + DOWNHILL  −,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  RESUME,58,682,217,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  SMALL + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  +,58,682,350,1,CRUISE  +  SMALL,no
3,CRUISE  −  BIG + CRUISE  CANCEL + FOLLOW DIST  +,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,FOLLOW DIST  +,no
3,CRUISE  −  BIG + CRUISE  CANCEL + CRUISE  RESUME,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,CRUISE  RESUME,no
3,CRUISE  −  BIG + CRUISE  CANCEL + FOLLOW DIST  −,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,FOLLOW DIST  −,no
3,CRUISE  −  BIG + CRUISE  CANCEL + DOWNHILL  CANCEL,CRUISE  −  BIG,CRUISE  CANCEL,DOWNHILL  CANCEL,58,58,58,0,,yes
3,CRUISE  −  BIG + CRUISE  CANCEL + DOWNHILL  −,CRUISE  −  BIG,CRUISE  CANCEL,DOWNHILL  −,58,58,133,0,,yes
3,CRUISE  −  BIG + CRUISE  CANCEL + DOWNHILL  RESUME,CRUISE  −  BIG,CRUISE  CANCEL,DOWNHILL  RESUME,58,58,217,0,,yes
